ZipCode,TotalPopulation,NoInsuranceRate,AsthmaRate,DiabetesRate
2876,753,5.6,12.1,9.3
2878,"16,359",5.3,11.0,10.5
2879,"20,982",4.5,10.8,9.9
2881,"8,443",6.8,12.5,2.9
2882,"12,919",4.4,11.0,10.3
2885,"11,147",6.2,11.2,10.9
2886,"29,373",5.8,11.8,12.2
2888,"19,578",6.1,11.9,12.0
2889,"28,277",6.5,12.2,12.0
2891,"21,803",5.4,10.9,9.9
2892,"5,420",4.0,10.8,8.4
2893,"31,030",7.7,12.3,12.1
2894,814,4.2,10.8,8.0
2895,"43,269",11.9,13.3,13.0
2896,"11,154",4.9,12.4,10.5
2898,"1,887",4.3,10.7,7.7
2903,"13,264",8.6,11.9,10.3
2904,"31,542",10.0,12.7,12.4
2905,"26,334",15.2,12.6,12.7
2906,"25,559",5.2,11.8,7.5
2907,"29,827",21.0,12.5,15.8
2908,"38,507",14.4,12.6,11.3
2909,"46,119",18.9,12.1,12.9
2910,"21,907",8.6,12.4,11.0
2911,"16,384",7.8,12.8,10.1
2912,"4,739",6.3,12.3,1.4
2914,"22,140",8.7,13.6,12.4
2915,"16,603",6.0,12.7,11.1
2916,"8,350",6.0,12.8,11.1
2917,"14,738",5.1,11.9,8.4
2918,"3,125",6.0,13.6,1.3
2919,"29,473",7.4,12.4,11.2
2920,"37,791",9.0,11.9,11.0
2921,"12,406",4.4,11.8,9.5
3031,"11,763",4.3,10.4,8.6
3032,"5,930",5.2,10.2,8.1
3033,"5,639",4.7,10.6,7.3
3034,"4,066",6.4,10.6,9.8
3036,"5,251",5.2,10.3,8.3
3037,"4,802",5.7,10.5,8.8
3038,"34,482",6.9,10.6,8.5
3042,"7,146",6.4,10.7,9.1
3043,"1,610",6.2,11.1,11.5
3044,"4,739",6.1,10.7,9.4
3045,"14,107",5.8,10.9,8.8
3046,"3,005",5.3,10.9,8.5
3047,"1,727",6.7,11.1,10.3
3048,"3,353",7.6,11.4,10.6
3049,"8,342",4.6,10.3,9.1
3051,"25,394",6.4,10.9,8.9
3052,"8,478",5.5,10.7,8.4
3053,"25,646",5.3,10.2,8.1
3054,"26,622",5.2,10.7,8.3
3055,"16,120",6.5,11.0,8.6
3057,"2,612",5.4,10.9,9.1
3060,"31,251",11.9,11.0,10.0
3062,"28,966",6.1,10.1,9.0
3063,"16,036",6.9,10.5,9.1
3064,"15,069",9.3,10.9,9.4
3070,"6,134",5.8,11.0,8.6
3071,"5,198",6.8,11.0,8.5
3076,"14,222",5.8,10.7,8.7
3077,"10,684",7.4,11.1,10.2
3079,"30,095",6.6,10.1,9.3
3082,"1,621",5.8,11.1,10.2
3084,"1,382",6.3,11.1,10.0
3086,"3,982",5.8,10.9,8.8
3087,"15,817",4.2,9.7,7.8
3101,"3,885",10.3,11.0,9.2
3102,"33,396",9.3,11.3,8.9
3103,"38,039",12.9,11.5,10.5
3104,"34,324",7.7,10.9,8.7
3106,"14,799",6.5,11.2,8.6
3109,"10,580",6.3,10.7,8.7
3110,"23,322",4.6,10.2,8.5
3215,510,6.6,10.5,12.2
3216,"2,327",6.7,11.3,9.9
3217,"1,938",8.3,11.2,11.5
3218,"1,116",6.6,10.7,9.3
3220,"7,368",8.3,11.1,11.3
3221,"2,307",5.8,10.9,9.5
3222,"5,743",7.3,11.0,10.9
3223,"3,410",6.4,10.8,9.7
3224,"2,368",5.8,10.9,9.2
3225,"3,799",6.6,10.5,9.2
3226,"1,145",5.6,10.1,12.2
3227,"1,113",5.0,10.0,11.1
3229,"5,919",5.1,10.7,8.9
3230,"1,256",7.0,11.4,10.6
3231,85,5.3,12.4,11.0
3233,115,4.3,10.4,10.4
3234,"4,817",6.2,11.1,9.6
3235,"8,856",7.8,11.6,9.8
3237,"2,478",5.2,10.4,9.5
3240,"1,385",7.4,10.8,10.3
3241,953,5.2,9.8,11.9
3242,"6,185",5.9,11.5,6.2
3243,"1,076",6.7,11.3,11.0
3244,"8,001",7.0,11.3,10.1
3245,"2,017",5.4,10.4,10.6
3246,"16,905",7.6,10.7,10.8
3249,"7,698",5.3,10.1,10.3
3251,"1,631",6.7,10.7,11.8
3253,"6,558",5.7,10.0,11.2
3254,"4,910",4.9,9.7,9.9
3255,"2,158",4.6,10.6,9.7
3256,"2,373",6.0,10.4,10.3
3257,"4,513",4.1,10.6,8.4
3258,"2,625",5.3,11.1,8.7
3259,236,5.2,9.8,10.9
3260,798,4.7,10.9,8.3
3261,"4,685",5.8,10.4,8.9
3262,"1,362",6.6,10.5,9.7
3263,"4,094",8.4,11.8,9.8
3264,"7,054",6.9,11.1,6.2
3266,"2,098",6.0,10.6,10.6
3268,"1,236",6.7,11.2,9.9
3269,"3,026",5.8,10.2,10.2
3273,259,5.2,10.8,9.3
3275,"11,946",8.1,11.9,10.0
3276,"8,766",7.8,11.2,10.3
3278,"3,126",6.4,11.1,9.7
3279,781,6.3,10.6,10.2
3280,"1,195",7.2,10.9,11.7
3281,"9,092",5.4,11.0,7.9
